dateTime,close
2018-01-10 00-00-00,1247.00000000
2018-01-11 00-00-00,1138.93000000
2018-01-12 00-00-00,1253.87000000
2018-01-13 00-00-00,1388.02000000
2018-01-14 00-00-00,1347.00000000
2018-01-15 00-00-00,1271.00000000
2018-01-16 00-00-00,1000.00000000
2018-01-17 00-00-00,1000.00000000
2018-01-18 00-00-00,994.00000000
2018-01-19 00-00-00,1032.50000000
2018-01-20 00-00-00,1152.75000000
2018-01-21 00-00-00,1049.00000000
2018-01-22 00-00-00,993.00000000
2018-01-23 00-00-00,980.00000000
2018-01-24 00-00-00,1061.00000000
2018-01-25 00-00-00,1056.52000000
2018-01-26 00-00-00,1051.03000000
2018-01-27 00-00-00,1118.99000000
2018-01-28 00-00-00,1251.96000000
2018-01-29 00-00-00,1177.01000000
2018-01-30 00-00-00,1085.50000000
2018-01-31 00-00-00,1124.81000000
2018-02-01 00-00-00,1041.94000000
2018-02-02 00-00-00,922.30000000
2018-02-03 00-00-00,971.00000000
2018-02-04 00-00-00,823.56000000
2018-02-05 00-00-00,697.92000000
2018-02-06 00-00-00,779.25000000
2018-02-07 00-00-00,754.00000000
2018-02-08 00-00-00,781.66000000
2018-02-09 00-00-00,877.00000000
2018-02-10 00-00-00,851.15000000
2018-02-11 00-00-00,808.99000000
2018-02-12 00-00-00,866.66000000
2018-02-13 00-00-00,841.57000000
2018-02-14 00-00-00,919.09000000
2018-02-15 00-00-00,924.55000000
2018-02-16 00-00-00,938.67000000
2018-02-17 00-00-00,969.99000000
2018-02-18 00-00-00,911.00000000
2018-02-19 00-00-00,938.11000000
2018-02-20 00-00-00,882.99000000
2018-02-21 00-00-00,835.89000000
2018-02-22 00-00-00,801.49000000
2018-02-23 00-00-00,851.60000000
2018-02-24 00-00-00,833.94000000
2018-02-25 00-00-00,841.19000000
2018-02-26 00-00-00,867.98000000
2018-02-27 00-00-00,870.11000000
2018-02-28 00-00-00,853.50000000
2018-03-01 00-00-00,870.63000000
2018-03-02 00-00-00,856.28000000
2018-03-03 00-00-00,856.02000000
2018-03-04 00-00-00,866.66000000
2018-03-05 00-00-00,849.84000000
2018-03-06 00-00-00,813.11000000
2018-03-07 00-00-00,749.90000000
2018-03-08 00-00-00,695.46000000
2018-03-09 00-00-00,723.71000000
2018-03-10 00-00-00,680.58000000
2018-03-11 00-00-00,720.85000000
2018-03-12 00-00-00,697.11000000
2018-03-13 00-00-00,689.94000000
2018-03-14 00-00-00,610.10000000
2018-03-15 00-00-00,608.83000000
2018-03-16 00-00-00,599.05000000
2018-03-17 00-00-00,546.95000000
2018-03-18 00-00-00,537.00000000
