dateTime,close
2018-01-03 00-00-00,14919.51000000
2018-01-04 00-00-00,15059.54000000
2018-01-05 00-00-00,16960.39000000
2018-01-06 00-00-00,17069.79000000
2018-01-07 00-00-00,16150.03000000
2018-01-08 00-00-00,14902.54000000
2018-01-09 00-00-00,14400.00000000
2018-01-10 00-00-00,14907.09000000
2018-01-11 00-00-00,13238.78000000
2018-01-12 00-00-00,13740.01000000
2018-01-13 00-00-00,14210.00000000
2018-01-14 00-00-00,13474.99000000
2018-01-15 00-00-00,13539.93000000
2018-01-16 00-00-00,10900.00000000
2018-01-17 00-00-00,10988.79000000
2018-01-18 00-00-00,10961.97000000
2018-01-19 00-00-00,11474.98000000
2018-01-20 00-00-00,12799.94000000
2018-01-21 00-00-00,11530.00000000
2018-01-22 00-00-00,10760.05000000
2018-01-23 00-00-00,10799.18000000
2018-01-24 00-00-00,11349.99000000
2018-01-25 00-00-00,11175.27000000
2018-01-26 00-00-00,11089.00000000
2018-01-27 00-00-00,11491.00000000
2018-01-28 00-00-00,11879.95000000
2018-01-29 00-00-00,11251.00000000
2018-01-30 00-00-00,10237.51000000
2018-01-31 00-00-00,10285.10000000
2018-02-01 00-00-00,9224.52000000
2018-02-02 00-00-00,8873.03000000
2018-02-03 00-00-00,9199.96000000
2018-02-04 00-00-00,8184.81000000
2018-02-05 00-00-00,6939.99000000
2018-02-06 00-00-00,7652.14000000
2018-02-07 00-00-00,7599.00000000
2018-02-08 00-00-00,7784.02000000
2018-02-09 00-00-00,8683.92000000
2018-02-10 00-00-00,8533.98000000
2018-02-11 00-00-00,8063.88000000
2018-02-12 00-00-00,8903.00000000
2018-02-13 00-00-00,8539.90000000
2018-02-14 00-00-00,9449.99000000
2018-02-15 00-00-00,10000.09000000
2018-02-16 00-00-00,10159.98000000
2018-02-17 00-00-00,11039.55000000
2018-02-18 00-00-00,10383.43000000
2018-02-19 00-00-00,11153.00000000
2018-02-20 00-00-00,11200.99000000
2018-02-21 00-00-00,10437.60000000
2018-02-22 00-00-00,9811.04000000
2018-02-23 00-00-00,10131.04000000
2018-02-24 00-00-00,9694.51000000
2018-02-25 00-00-00,9590.00000000
2018-02-26 00-00-00,10324.00000000
2018-02-27 00-00-00,10569.04000000
2018-02-28 00-00-00,10326.76000000
2018-03-01 00-00-00,10920.00000000
2018-03-02 00-00-00,11039.00000000
2018-03-03 00-00-00,11464.48000000
2018-03-04 00-00-00,11515.00000000
2018-03-05 00-00-00,11454.00000000
2018-03-06 00-00-00,10716.48000000
2018-03-07 00-00-00,9910.00000000
2018-03-08 00-00-00,9271.64000000
2018-03-09 00-00-00,9227.00000000
2018-03-10 00-00-00,8770.22000000
2018-03-11 00-00-00,9533.57000000
2018-03-12 00-00-00,9131.34000000
2018-03-13 00-00-00,9150.00000000
2018-03-14 00-00-00,8170.00000000
2018-03-15 00-00-00,8240.98000000
2018-03-16 00-00-00,8260.00000000
2018-03-17 00-00-00,7824.80000000
2018-03-18 00-00-00,8189.99000000
2018-03-19 00-00-00,8600.00000000
2018-03-20 00-00-00,8909.98000000
2018-03-21 00-00-00,8885.00000000
2018-03-22 00-00-00,8722.90000000
2018-03-23 00-00-00,8898.03000000
2018-03-24 00-00-00,8546.86000000
2018-03-25 00-00-00,8470.15000000
2018-03-26 00-00-00,8134.23000000
2018-03-27 00-00-00,7795.51000000
2018-03-28 00-00-00,7949.30000000
2018-03-29 00-00-00,7090.14000000
2018-03-30 00-00-00,6840.23000000
2018-03-31 00-00-00,6923.91000000
2018-04-01 00-00-00,6813.01000000
